TAESD32,AESD32,TAESD64,AESD64,TAESE32,AESE32,TAESE64,AESE64,TCRC32,CRC32,TCRC64,CRC64,TDIJK32,DIJK32,TDIJK64,DIJK64,TFFT32,FFT32,TFFT64,FFT64,TQSORT32,QSORT32,TQSORT64,QSORT64,TSSEARCH32,SSEARCH32,TSSEARCH64,SSEARCH64,TMXM32,MXM32,TMXM64,MXM64,TSUSANC32,SUSANC32,TSUSANC64,SUSANC64,TSUSANE32,SUSANE32,TSUSANE64,SUSANE64,TSUSANS32,SUSANS32,TSUSANS64,SUSANS64
89007660,0.49829,83376921,0.33993,88305500,0.48882,58971708,0.32255,96870855,0.23023,97497105,0.21688,114125295,0.47654,108704475,0.23874,123225960,0.28765,126182862,0.36322,71917047,0.69925,52601994,0.23359,29216316,0.48927,48449205,0.19526,99390885,0.48719,68457141,0.30672,14036016,0.36671,19187298,0.20919,20115651,0.59226,36552960,0.22319,56956686,0.36039,80270220,0.28215
89645433,0.50741,88360368,0.33056,89010000,0.49708,60668094,0.31862,99856815,0.22622,98490087,0.21795,114404352,0.49196,109874811,0.2407,123970446,0.29246,131294565,0.35784,72763737,0.70899,52772334,0.23656,29739360,0.48745,48736779,0.19547,100648395,0.48916,69789801,0.30733,14537016,0.3579,19454832,0.21144,22530471,0.5391,36707268,0.22305,60304368,0.34632,86684022,0.2692
91306749,0.50992,93981087,0.31678,91549000,0.49716,61186128,0.32166,100291182,0.22923,99176958,0.21914,116533602,0.49631,110955969,0.24226,125748495,0.29591,139694331,0.35002,75341883,0.69595,52980750,0.24056,29774430,0.48977,48810927,0.19585,103300188,0.48703,70736190,0.30847,15959856,0.33632,19599621,0.21511,24669240,0.50332,36795444,0.22299,66068373,0.32227,86814282,0.27484
92375883,0.5168,95621361,0.3169,92570500,0.50994,62149551,0.32288,101467029,0.22881,101998089,0.21864,116794122,0.50382,111345246,0.24584,132619710,0.2877,141216369,0.35513,76042281,0.71325,54215715,0.23877,29836554,0.49504,48820446,0.19675,107658387,0.48557,71372961,0.30906,17990409,0.30765,19600122,0.21967,25131162,0.50034,36800454,0.22376,66877488,0.32918,87057768,0.28061
92614359,0.5255,96582279,0.31862,95610500,0.50329,64290825,0.31738,101674944,0.23288,109618299,0.20826,118822671,0.51321,111768591,0.25026,133980426,0.28717,144739401,0.35349,76399995,0.72959,56077932,0.23614,29950782,0.49808,48836478,0.19733,112890330,0.46774,73871949,0.30467,18028986,0.31223,19876173,0.21987,25279959,0.50438,37105563,0.22264,66887508,0.33427,87883917,0.28268
92620371,0.53415,105536652,0.29993,96059000,0.51147,64535313,0.32143,102155904,0.23412,110606772,0.20858,118878282,0.52599,117842715,0.2432,135651762,0.28894,149367138,0.34889,78895476,0.7273,56450175,0.23815,30074529,0.49985,49490784,0.19605,116409354,0.46969,75657012,0.30544,18057543,0.32035,20097615,0.22559,25380159,0.50727,37120593,0.22316,68820867,0.33446,88179006,0.29687
94204032,0.53625,107069211,0.30104,98358000,0.50869,65837412,0.31971,105431442,0.2319,111579213,0.21057,130708896,0.4867,118844715,0.24496,143230890,0.27911,159784431,0.33554,78937059,0.74987,57171615,0.23916,30115611,0.50262,49555914,0.19668,117856743,0.48987,77100393,0.30608,18356640,0.32076,20276472,0.24496,26996385,0.47831,37207767,0.22328,69368460,0.33633,90401943,0.29555
95459037,0.53925,109761585,0.2977,99501500,0.50913,65882001,0.32374,111022101,0.22645,113492532,0.20916,133343655,0.48641,119809140,0.24584,144763449,0.2793,167798928,0.32828,79083852,0.77622,58163094,0.23795,30145170,0.50648,49597998,0.19709,119188902,0.4931,78458103,0.31157,18407742,0.33894,20866149,0.24385,29197278,0.45,37647144,0.22168,70267755,0.33658,90936009,0.3011
98273655,0.52938,110528616,0.30002,100336000,0.51602,65909556,0.32924,112121295,0.22981,114474993,0.21429,136409274,0.4848,122419851,0.24706,147932775,0.28031,186047853,0.306,85198056,0.74488,62147046,0.22825,30146172,0.51309,50121543,0.19668,119518560,0.51277,80305791,0.31409,18671769,0.34116,21497910,0.24489,29249382,0.45104,37851051,0.22116,73857921,0.32377,91456047,0.30533
106264104,0.49921,110979516,0.30415,102807500,0.51031,66113463,0.33341,112956963,0.231,116592219,0.2146,137020995,0.49661,131494464,0.23655,170385591,0.24629,186417591,0.31035,94087299,0.70262,64989720,0.22338,30194268,0.51742,50162124,0.19761,127999488,0.48759,80325330,0.32032,19495914,0.33399,21565545,0.24708,29345574,0.45557,38198745,0.22021,74074353,0.32593,92712555,0.30716
110025612,0.4923,112073199,0.30593,103850500,0.51439,67345923,0.33223,113145339,0.23415,121664343,0.21231,139058061,0.50132,132815100,0.23772,172540392,0.24709,186970695,0.31526,99556215,0.68449,65224188,0.22572,30313005,0.51791,50347995,0.19803,129930843,0.49611,80577834,0.32373,19881684,0.34474,21715344,0.25535,29366616,0.45671,38212272,0.22122,74562327,0.32842,97024662,0.30262
