TQSORT_ITER,PVFQSORT_ITER,TQSORT,PVFQSORT
1962083334,0.55451,1540062477,0.53566
1964178516,0.5551,1546157142,0.53514
1967028705,0.55579,1551421149,0.53403
1970207049,0.55651,1553440680,0.53449
1982345778,0.55437,1556952690,0.53382
1983667917,0.55531,1557933648,0.53399
1984172925,0.55668,1566071892,0.53206
1987452972,0.55691,1567397538,0.53282
2002886778,0.55426,1568896530,0.53284
2008749981,0.55404,1570049331,0.5336
2009240961,0.55598,1575942093,0.53233
2009617713,0.55714,1576442592,0.53316
2016593637,0.5563,1578235671,0.53397
2019200841,0.5565,1580352897,0.5346
2022705837,0.55727,1581118425,0.53586
2044444227,0.55253,1581163014,0.53737
2047362552,0.55267,1582334853,0.53774
2055971736,0.55136,1583373426,0.53795
2058002790,0.55228,1588980618,0.53733
2066124000,0.551,1591800246,0.53777
2068690623,0.55149,1592956053,0.53925
2083647477,0.54857,1594107351,0.5404
2094567774,0.54655,1597135896,0.54049
2103671445,0.5453,1601296701,0.54005
2103962526,0.54618,1606284657,0.53994
2105560716,0.54645,1611329226,0.53921
2109878835,0.54658,1612678419,0.53968
2110515606,0.54757,1613532123,0.54051
2112710487,0.54853,1613884827,0.5415
2116435422,0.54859,1622527077,0.53984
2123000025,0.54831,1624468953,0.54007
2139105672,0.54518,1625580171,0.54173
2145866667,0.5447,1627298100,0.54264
2151575061,0.54413,1629332160,0.54307
2167028406,0.54156,1635312096,0.54276
2172949224,0.54132,1637735433,0.54299
2174435190,0.5419,1653589578,0.53883
2182831950,0.54144,1659872118,0.53859
2185191660,0.54201,1664397651,0.53814
2198897517,0.54002,1665433719,0.53887
2200456128,0.54077,1672747818,0.53761
2205321840,0.5401,1675086987,0.53789
2215535727,0.5387,1676548905,0.53885
2217152955,0.53901,1677728259,0.53983
2217343335,0.54012,1687343451,0.53776
2222467563,0.53957,1693582905,0.53689
2223422970,0.54,1694454645,0.53812
2237633334,0.5378,1705011216,0.53609
2242859265,0.53811,1714982619,0.53398
2250234987,0.53784,1721260149,0.53289
2252710428,0.53909,1724317752,0.53287
2261766003,0.53846,1732360806,0.53129
2262355680,0.53906,1733550681,0.53153
2262922812,0.53975,1739847750,0.53021
2264423808,0.54065,1739872299,0.53202
2270255949,0.54038,1740046647,0.53262
2287692252,0.53718,1743125292,0.53272
2289190242,0.53794,1747472469,0.53319
2294015874,0.53841,1747800624,0.53493
2294210262,0.53922,1747868259,0.53651
2294368077,0.54018,1758071124,0.53442
2305139577,0.53854,1762088142,0.53384
2308179144,0.53891,1762512990,0.53483
2308305396,0.54,1763615190,0.53565
2308621026,0.54106,1767703350,0.53504
2322903534,0.53871,1769610657,0.53517
2323214655,0.53966,1774944804,0.53481
2323527780,0.54088,1775395203,0.53564
2333436057,0.54,1776067545,0.53602
2334059301,0.54108,1778146695,0.53717
2342247645,0.54009,1780261917,0.53783
2345693523,0.54019,1781218827,0.5388
2347473075,0.54085,1781482353,0.53959
2349626373,0.54118,1781611611,0.54052
2350158936,0.54209,1790375604,0.53882
2353021149,0.54251,1797174174,0.5377
2355609315,0.54357,1797621567,0.53807
2363168403,0.54256,1805235765,0.53691
2367498045,0.54356,1806096483,0.53826
2369015073,0.54385,1806569928,0.53953
2373213453,0.54395,1806894075,0.54051
2378535075,0.5448,1815116988,0.539
2378607720,0.54568,1816554357,0.53936
2393816577,0.54329,1822595916,0.53798
2396091117,0.54344,1824348414,0.53818
2396339613,0.54437,1837779222,0.53556
2396899731,0.54498,1839735126,0.53574
2403912729,0.54377,1844780697,0.53488
2409810000,0.54342,1849546710,0.53419
2421677688,0.54201,1850863839,0.53461
2427266343,0.54159,1851013137,0.53574
2429633067,0.54307,1854112824,0.53568
2432842473,0.54305,1856353296,0.53627
2436300375,0.54286,1858089261,0.5366
2437140552,0.54368,1859587752,0.53728
2441031318,0.54387,1859634846,0.53791
2442668586,0.54478,1865245044,0.53736
2442704157,0.54575,1867644834,0.53728
2443559865,0.54715,1869320178,0.53766
2450322864,0.54651,1874961939,0.53724
2452398507,0.54706,1879502502,0.53725
2457709608,0.54642,1879810116,0.53776
2459223129,0.54719,1880351196,0.53845
2464425513,0.5469,1884329637,0.53856
2465269197,0.54729,1889581119,0.53788
2468783712,0.54721,1893606153,0.53764
2471796225,0.54755,1898548017,0.53757
2475319257,0.54748,1900327569,0.53813
2476887387,0.54832,1900367649,0.53882
2481843279,0.54808,1902835074,0.53888
2488453473,0.54774,1909538454,0.53781
2503564635,0.54527,1920746325,0.53626
2503932369,0.54613,1926715740,0.53514
2506651296,0.54673,1930031859,0.53548
2507708907,0.54765,1949719656,0.5312
2512372716,0.54742,1964955066,0.52777
2538564996,0.5425,1966730610,0.52846
2539437237,0.54332,1969809255,0.52841
2543420688,0.54318,1970776686,0.52898
2545754346,0.5435,1971707544,0.53027
2547781392,0.54395,1976491593,0.52996
2550994806,0.54448,1982335758,0.5292
2552758326,0.54518,1989727512,0.52883
2559076437,0.54511,1990459473,0.52938
2559535854,0.5464,1997678883,0.5288
2565545850,0.54576,1998004032,0.52907
2571639012,0.54573,2000642298,0.52929
2575547313,0.54527,2000710434,0.53052
2580510720,0.545,2002251510,0.53059
2584471626,0.54501,2003551104,0.53147
2584552788,0.54574,2003687877,0.5322
2589318300,0.54594,2009567112,0.53145
2592951051,0.54633,2010415305,0.53188
2598622872,0.54633,2026486884,0.52918
2599738599,0.54713,2027228364,0.52986
2600300721,0.54781,2029421742,0.53054
2605541181,0.5473,2029883163,0.53146
2608981548,0.54746,2030249394,0.53254
2611729032,0.54759,2031795981,0.53351
2620303146,0.5466,2033055996,0.53451
2626317651,0.54664,2033792466,0.53514
2633885256,0.54568,2038388640,0.53456
2636817609,0.54623,2047086000,0.53329
2643108666,0.54637,2048850522,0.5336
2644661265,0.54661,2050947708,0.53379
2645989416,0.54765,2051467245,0.53432
2647242918,0.54904,2059377033,0.5333
2650945809,0.54927,2072490207,0.5312
2653093095,0.54984,2075753721,0.53107
2666899653,0.54796,2075893500,0.53191
2671224285,0.54789,2076075864,0.53233
2671277892,0.54883,2077109928,0.53311
2673398124,0.549,2081545782,0.53267
2675863545,0.54939,2086032237,0.5324
2679810924,0.55002,2090573802,0.53235
2689939140,0.54901,2093954049,0.53228
2696220177,0.54876,2095808751,0.53252
2708470128,0.54723,2096139411,0.53338
2709122931,0.5479,2097365859,0.53382
2721566268,0.54594,2099431983,0.53406
2736290658,0.54388,2100154926,0.53481
2738434938,0.54452,2100398913,0.53549
2739639843,0.54468,2103856314,0.53501
2740632825,0.54535,2117432913,0.53264
2745798135,0.54503,2117887320,0.53345
